Episode,ActionMeasure
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,1.9142552614212036
15,2.0
16,2.0
17,1.98453950881958
18,2.0
19,1.9081493616104126
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,0.7475515604019165
46,1.7289642691612244
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,1.7430709600448608
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,0.2724989056587219
64,2.0
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,2.0
73,1.8932466506958008
74,2.0
75,1.5649136900901794
76,1.959889531135559
77,2.0
78,2.0
79,2.0
80,0.4744760990142822
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,1.5950013399124146
89,2.0
90,2.0
91,1.4654016494750977
92,2.0
93,2.0
94,2.0
95,1.8523402214050293
96,2.0
97,2.0
98,2.0
99,1.0135383009910583
100,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,1.866467833518982
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,1.4565821886062622
22,2.0
23,2.0
24,2.0
25,2.0
26,1.1827819347381592
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,2.0
38,1.8833507299423218
39,2.0
40,2.0
41,1.9223343133926392
42,2.0
43,1.409291684627533
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,1.794183611869812
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,2.0
73,2.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,1.2199363112449646
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,1.3958264887332916
88,2.0
89,2.0
90,1.5898204445838928
91,1.5162532925605774
92,2.0
93,1.2814108729362488
94,2.0
95,2.0
96,2.0
97,2.0
98,2.0
99,2.0
100,2.0
1,2.0
2,1.8450443744659424
3,1.5996849536895752
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,1.0482357740402222
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
