EpisodeID,ActionMeasure
1,1.085660994052887
2,2.0
3,2.0
4,1.277743935585022
5,2.0
6,1.162170648574829
7,1.7569677829742432
8,2.0
9,2.0
10,2.0
11,0.8669697940349579
12,1.3753787279129028
13,2.0
14,2.0
15,1.5070177912712097
16,2.0
17,2.0
18,2.0
19,1.421168327331543
20,2.0
21,2.0
22,2.0
23,1.5343058109283447
24,2.0
25,1.953701674938202
26,2.0
27,2.0
28,2.0
29,1.5526486039161682
30,2.0
31,1.3779895901679993
32,2.0
33,2.0
34,1.8809176683425903
35,2.0
36,1.0764614641666412
37,1.8344814777374268
38,2.0
39,2.0
40,1.0770880579948425
41,1.112405776977539
42,1.6178282499313354
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,1.893730640411377
52,2.0
53,2.0
54,2.0
55,1.612310767173767
56,2.0
57,2.0
58,2.0
59,1.9452136754989624
60,1.9131547212600708
61,2.0
62,1.9857128858566284
63,2.0
64,2.0
65,2.0
66,2.0
67,1.7160050868988037
68,2.0
69,0.9762289524078369
70,0.42274367809295654
71,1.571343183517456
72,2.0
73,1.3313535749912262
74,0.821395754814148
75,1.4644750952720642
76,2.0
77,2.0
78,2.0
79,1.4539292752742767
80,1.0881144404411316
81,2.0
82,2.0
83,2.0
84,0.8332201838493347
85,2.0
86,2.0
87,1.205581471323967
88,2.0
89,2.0
90,1.7129991054534912
91,2.0
92,2.0
93,2.0
94,1.1070594787597656
95,2.0
96,1.7808544635772705
97,1.5857112407684326
98,2.0
99,1.891789436340332
100,1.4388055801391602
