EpisodeID,ActionMeasure
1,1.8895369172096252
2,2.372597564011812
3,2.273773891851306
4,3.52632172126323
5,2.605930667370558
6,3.4136713072657585
7,4.362382397055626
8,3.6776139438152313
9,1.812221808359027
10,4.413539752364159
11,1.7440905943512917
12,2.1738146394491196
13,3.0184790939092636
14,2.478917460888624
15,2.512845367193222
16,1.397087751654908
17,2.3163381721824408
18,1.6969457566738129
19,4.174153089523315
20,3.282091051340103
21,2.7386795841157436
22,2.9167896481230855
23,2.105236664414406
24,2.1381360217928886
25,1.67943175137043
26,4.426146324723959
27,3.447870835661888
28,3.5440599462017417
29,2.0098071098327637
30,2.5764351785182953
31,2.8679439425468445
32,2.336519569158554
33,3.0455753784626722
34,2.649246007204056
35,2.4420987889170647
36,2.8214509785175323
37,1.8065975457429886
38,2.0553094521164894
39,2.615934773813933
40,3.4008828699588776
41,2.5079229176044464
42,2.488326817750931
43,2.6444159392267466
44,1.7692630589008331
45,1.9506401345133781
46,3.3515762127935886
47,2.4127512937411666
48,3.387466788291931
49,2.4076716005802155
50,3.016924262046814
51,3.2582747638225555
52,3.26317235827446
53,2.6875285133719444
54,2.8227077834308147
55,3.4475216567516327
56,4.999273434281349
57,3.0213555097579956
58,4.1784395184367895
59,3.147510379552841
60,2.88106413371861
61,3.555486621335149
62,2.6830978505313396
63,2.075709857046604
64,3.191988080739975
65,3.066991627216339
66,2.505983881652355
67,3.2217296063899994
68,1.5168654322624207
69,2.547361269593239
70,2.865913089364767
71,2.0785643234848976
72,3.075251504778862
73,3.360549885779619
74,3.6368379965424538
75,2.5940324515104294
76,3.323151908814907
77,2.563509911298752
78,2.456405071541667
79,1.6043543256819248
80,3.236854849383235
81,1.500349074602127
82,3.540936827659607
83,2.448507696390152
84,2.836680054664612
85,2.8832900673151016
86,2.9012756999582052
87,4.602883487008512
88,2.6397071182727814
89,2.4920500069856644
90,2.4441234143450856
91,2.0354141891002655
92,3.6374100148677826
93,3.048495516180992
